name agn_name ra dec lii bii angular_separation error_radius assoc_probability optical_class sed_class redshift photon_flux_limit photon_flux photon_flux_error spectral_index spectral_index_error detection_significance variability_flag curvature_flag note_flag clean_flag type_flag null
"1FGL J0048.0-8412" "PKS 0044-84" 11.11192 -84.37781 303.13544614 -32.7476786 0.191 0.229 0.96 FSRQ -999 1.032 < 1.3e-09 -999.0 2.69 0.17 5.6 N N S Y H -999
"1FGL J2201.6-8327" "PKS 2155-83" 330.58221 -83.63653 307.96201656 -31.74633189 0.181 0.191 0.85 FSRQ -999 1.865 -999 1.7e-09 4e-10 2.74 0.11 9.3 Y N S Y H -999
"1FGL J0533.0-8324" "PKS 0541-834" 83.41038 -83.40997 295.8147017 -29.14228495 0.017 0.078 0.99 FSRQ -999 0.774 -999 2.2e-09 4e-10 2.33 0.12 10.5 Y N S Y H -999
"1FGL J1058.1-8006" "PKS 1057-79" 164.68083 -80.06506 298.00951721 -18.28810206 0.055 0.112 1.0 BLL LSP 0.581 -999 2.2e-09 4e-10 2.45 0.1 11.8 Y N S Y H -999
"1FGL J1927.3-7932" "CRATES J1916-7946" 289.18471 -79.77275 314.43785423 -27.78455408 0.53 0.483 0.0 FSRQ -999 0.204 < 1.3e-09 -999.0 2.8 0.17 5.6 N N -999 N A -999
"1FGL J1424.5-7847" "PKS 1418-782" 215.93179 -78.49297 307.60797712 -16.46788993 0.297 0.431 0.92 FSRQ -999 0.789 -999 1.2e-09 4e-10 2.06 0.17 4.6 N N S N H -999
"1FGL J1617.9-7716" "PKS 1610-77" 244.45583 -77.28844 313.43066823 -18.85383604 0.017 0.087 1.0 FSRQ LSP 1.71 -999 3.7e-09 5e-10 2.53 0.07 17.9 N N S Y H -999
"1FGL J0636.1-7521" "PKS 0637-75" 98.94358 -75.27131 286.36832241 -27.15846645 0.085 0.134 0.99 FSRQ LSP 0.651 -999 1.8e-09 4e-10 2.49 0.13 9.8 Y N S Y H -999
"1FGL J0600.7-7037" "PKS 0601-70" 90.29717 -70.60239 281.03511878 -29.62957022 0.043 0.179 0.93 FSRQ -999 2.409 -999 1.7e-09 4e-10 2.52 0.13 8.2 Y N S Y H -999
"1FGL J1902.3-6802" "CGRaBS J1903-6749" 285.75513 -67.82655 327.73927608 -26.05476624 0.221 0.33 0.96 FSRQ -999 0.255 < 1.1e-09 -999.0 2.84 0.15 7.3 Y N S Y H -999
