name agn_name ra dec lii bii angular_separation error_radius assoc_probability optical_class sed_class redshift photon_flux_limit photon_flux photon_flux_error spectral_index spectral_index_error detection_significance variability_flag curvature_flag note_flag clean_flag type_flag null
"1FGL J1028.7-8543" "PKS 1029-85" 156.6465 -85.72086 300.17357848 -23.64907111 0.041 0.262 0.95 Unknown -999 -999.0 -999 1.2e-09 4e-10 2.55 0.19 4.7 N N S Y H -999
"1FGL J0048.0-8412" "PKS 0044-84" 11.11192 -84.37781 303.13544614 -32.7476786 0.191 0.229 0.96 FSRQ -999 1.032 < 1.3e-09 -999.0 2.69 0.17 5.6 N N S Y H -999
"1FGL J2201.6-8327" "PKS 2155-83" 330.58221 -83.63653 307.96201656 -31.74633189 0.181 0.191 0.85 FSRQ -999 1.865 -999 1.7e-09 4e-10 2.74 0.11 9.3 Y N S Y H -999
"1FGL J0533.0-8324" "PKS 0541-834" 83.41038 -83.40997 295.8147017 -29.14228495 0.017 0.078 0.99 FSRQ -999 0.774 -999 2.2e-09 4e-10 2.33 0.12 10.5 Y N S Y H -999
"1FGL J2259.9-8255" "PMN-CA J2257-8246" 344.498 -82.78153 307.03286538 -33.42029117 0.163 0.142 0.0 Unknown -999 -999.0 -999 1.1e-09 4e-10 2.11 0.2 4.3 N N -999 N A -999
"1FGL J1153.4-8108" "PMN-CA J1149-8112" 177.28579 -81.20531 300.44909521 -18.6353721 0.176 0.248 0.0 Unknown -999 -999.0 -999 1.1e-09 4e-10 2.44 0.16 6.3 N N -999 N A -999
"1FGL J1153.4-8108" "PKS 1153-807" 178.94242 -81.02178 300.66491953 -18.39604028 0.154 0.248 0.0 Unknown -999 -999.0 -999 1.1e-09 4e-10 2.44 0.16 6.3 N N -999 N A -999
"1FGL J1927.3-7932" "CRATES J1923-8007" 290.77337 -80.12478 314.02939991 -28.05009344 0.614 0.483 0.0 Unknown -999 -999.0 < 1.3e-09 -999.0 2.8 0.17 5.6 N N -999 N A -999
"1FGL J1058.1-8006" "PKS 1057-79" 164.68083 -80.06506 298.00951721 -18.28810206 0.055 0.112 1.0 BLL LSP 0.581 -999 2.2e-09 4e-10 2.45 0.1 11.8 Y N S Y H -999
"1FGL J1927.3-7932" "CRATES J1916-7946" 289.18471 -79.77275 314.43785423 -27.78455408 0.53 0.483 0.0 FSRQ -999 0.204 < 1.3e-09 -999.0 2.8 0.17 5.6 N N -999 N A -999
"1FGL J1927.3-7932" "CRATES J1913-7920" 288.38792 -79.33733 314.93109185 -27.64390437 0.665 0.483 0.0 Unknown -999 -999.0 < 1.3e-09 -999.0 2.8 0.17 5.6 N N -999 N A -999
"1FGL J1424.5-7847" "PKS 1418-782" 215.93179 -78.49297 307.60797712 -16.46788993 0.297 0.431 0.92 FSRQ -999 0.789 -999 1.2e-09 4e-10 2.06 0.17 4.6 N N S N H -999
